timestamp,text,class
"May 5th 2018, 17:14:04.000",And some folks believe NYC got it right on VZ Any city using a police enforcement strategy to red,non_traffic
"May 5th 2018, 16:25:23.000",When you find out last minute that the bus stop youre leaving NYC from is not the same one you got dropped off atits,non_traffic
"May 5th 2018, 16:23:42.000",Any chance you would be open 30 mins later On our way up from NYC but stuck in traffic,non_traffic
"May 5th 2018, 16:12:23.000",5BoroBikeTour 2018 is this SundayMay 6 A 40mile ride thru NYC s 5 boroughs amp major bridgesTherell be traffi,traffic
"May 5th 2018, 16:05:57.000",NYC is a traffic hellhole Chicago has better beer and baseball,non_traffic
"May 5th 2018, 15:43:06.000",Something about NYC traffic that really makes me,non_traffic
"May 5th 2018, 15:30:07.000",Heres this evenings train and traffic update Have a wonderful night NYC citylife,non_traffic
"May 5th 2018, 14:51:47.000",Marathon watching Marvel movies and all I can think about is who pays the bill and who cleans up all the destructio,non_traffic
"May 5th 2018, 14:47:34.000",NewFad DTE uptown Embassy DOT Not sure what,non_traffic
"May 5th 2018, 14:35:34.000",Touched down In NYC Traffic is crazy so I just hopped on the train from JFK my aunts house in the city Theres nothing like r,non_traffic
"May 5th 2018, 14:11:40.000",Chris Hedges calls attention to the algorithms of Facebook Google and Twitter and how they steer traffic away from an,non_traffic
"May 5th 2018, 14:08:33.000",NYC Ferries are indeed nice but they should cost 6 at least thats what NYC water taxi used to c,non_traffic
"May 5th 2018, 13:33:33.000",I wish the trains were more reliable in Nyc Not that Id start taking it again but maybe it could help with traffic,non_traffic
"May 5th 2018, 13:33:16.000",Planning on being in NYC this weekend Have fun and plan ahead with our traffic advisory There are lots of events including,non_traffic
"May 5th 2018, 13:27:21.000",Senpai yeah like NYC was crazy but at least TM usually has their shit together the AXS site was complete,non_traffic
"May 5th 2018, 13:23:13.000",The mayor can Add bus lanes Enforce bus lanes Implement transit signal priority,non_traffic
"May 5th 2018, 13:18:41.000",Pedestrian intervention through traffic disruption in Greenwich NYC Shows the improvements amp also challenges of,non_traffic
"May 5th 2018, 13:03:15.000",Closed due to major event in Nyc on 2nd Ave SB between 14th St and E 4th St traffic,traffic
